@relation amazon_train

@attribute text string
@attribute class-att {0,1}

@data'!I definitly recommend!!'	,1
'The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.'	,0
'The sound quality is good and functionality is awesome.'	,1
'The update procedure is difficult and cumbersome.'	,0
'The voice recognition thru the handset is excellent.'	,1
'The volume for the ringer is REAL good (you have choices how loud).'	,1
'The volume switch rocketed out of the unit to a destination unknown.'	,0
'the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.'	,0
'The worst phone I\'ve ever had.... Only had it for a few months.'	,0
'The worst piece of crap ever along with the Verizon customer service.'	,0
'Their network coverage in Los Angeles is horrible.'	,0
'Their Research and Development division obviously knows what they\'re doing.'	,1
'Then I exchanged for the same phone, even that had the same problem.'	,0
'Then I had to continue pairing it periodically since it somehow kept dropping.'	,0
'There\'s a horrible tick sound in the background on all my calls that I have never experienced before.'	,0
'There\'s really nothing bad I can say about this headset.'	,0
'These are certainly very comfortable and functionality is decent.'	,1
'These are fabulous!'	,1
'These headphones were a great find - and I think they are perhaps the best purchase I\'ve made in the last several years - seriously.'	,1
'THey are so cool!'	,1
'They do not care about the consumer one bit.'	,0
'They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.'	,1
'They made this case too small and is very difficult to install.'	,0
'They refuse to refund or replace.'	,0
'This battery is an excellent bargain!'	,1
'This case seems well made.'	,1
'This device is great in several situations:1.)'	,1
'This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.'	,0
'This fixes all the problems.'	,1
'This frog phone charm is adorable and very eye catching.'	,1
'This is a beautiful phone.'	,1
'This is a good battery, and it got here really fast.'	,1
'This is a great deal.'	,1
'This is a great little item.'	,1
'This is a great phone!.'	,1
'This is a great product..... sure beats using your fingers!.'	,1
'This is a simple little phone to use, but the breakage is unacceptible.'	,0
'This is a VERY average phone with bad battery life that operates on a weak network.'	,0
'This is definitely a must have if your state does not allow cell phone usage while driving.'	,1
'This is essentially a communications tool that does not communicate.'	,0
'This is hands down the best phone I\'ve ever had.'	,1
'This is infuriating.'	,0
'This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.'	,0
'This is the first phone I\'ve had that has been so cheaply made.'	,0
'This item is fantastic and works perfectly!'	,1
'This item is great, installed it, let it charged up overnite and it has been working good every since with no problems'	,1
'This item worked great, but it broke after 6 months of use.'	,0
'This little device has transformed my organizational capability and made my life a whole lot easier.'	,1
'This one works and was priced right.'	,1
'This PDA rocks.'	,1
'This phone is pretty sturdy and I\'ve never had any large problems with it.'	,1
'This phone is slim and light and the display is beautiful.'	,1
'This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.'	,1
'This phone might well be the worst I\'ve ever had in any brand.'	,0
'This phone works great.'	,1
'This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it'	,0
'This product is clearly not ready for prime time, I don\'t care how cool it looks, if you can\'t tell a call is coming in it\'s worthless.'	,0
'This product is ideal for people like me whose ears are very sensitive.'	,1
'This results in the phone being either stuck at max volume or mute.'	,0
'Those phones are working just fine now.'	,1
'Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!'	,0
'Timely shipment and quality product.'	,1
'Too bad you have to pay up to $$$ a month for the service!'	,0
'Truly awful.'	,0
'Trying to make a call on these is an exercise in frustration.'	,0
'Uncomfortable In the Ear, Don\'t use with LG VX9900 (EnV).'	,0
'Unfortunately it\'s easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.'	,0
'Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.'	,0
'Unreliable - I\'m giving up.'	,0
'useless phone, simply deaf.'	,0
'Using all earpieces, left or right, this thing will not stay on my ear.'	,0
'Utter crap.. Sound quality is TERRIBLE.'	,0
'Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.'	,0
'Verizon\'s bills, however, are difficult to understand even though their pricing plans are simple.'	,0
'very clear, quality sound and you don\'t have to mess with the sound on your iPod since you have the sound buttons on the headset.'	,1
'VERY comfortable.'	,1
'Very disappointed in AccessoryOne.'	,0
'VERY DISAPPOINTED.'	,0
'very disappointed.'	,0
'Very disappointing.'	,0
'Very Displeased.'	,0
'Very Dissapointing Performance.'	,0
'Very easy to use.'	,1
'Very good phone.'	,1
'very good product, well made.'	,1
'Very good quality though'	,1
'Very good stuff for the price.'	,1
'Very happy with this product.'	,1
'Very pleased with this headset.'	,1
'Very prompt service.'	,1
'Very well made and fits my Surefire GX2 perfectly.'	,1
'Very wind-resistant.'	,1
'Virgin Wireless rocks and so does this cheap little phone!'	,1
'Voice Quality, Signal Strength, Dropped Calls.'	,0
'Voice recognition is tremendous!'	,1
'W810i is just SUPERB.'	,1
'Warning - Stay away.'	,0
'Was not happy.'	,0
'Waste of 13 bucks.'	,0
'Waste of money.'	,0
'We are sending it back.'	,0
'We have gotten a lot of compliments on it.'	,1
'We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement'	,0
'We would recommend these to others.'	,1
'WELL IM SATISFIED.'	,1
'Well packaged, arrived on time, and works as intended.'	,1
'Were JERKS on the phone.'	,0
'What a big waste of time.'	,0
'what a disappointment'	,0
'What a waste of money and time!.'	,0
'What a waste of time!'	,0
'What a waste.'	,0
'What possesed me to get this junk, I have no idea...'	,0
'When I placed my treo into the case, not only was it NOT snug, but there was A LOT of extra room on the sides.'	,0
'Who in their right mind is gonna buy this battery?.'	,0
'Will order from them again!'	,1
'Worked great!.'	,1
'Worked perfectly!'	,1
'Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).'	,1
'Works as described.'	,1
'Works great!.'	,1
'Works great!.'	,1
'Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.'	,1
'Works great.'	,1
'Works great.'	,1
'Works like a charm.. Works as advertised.'	,1
'Works like a charm; it work the same as the one I got with the phone.'	,1
'Worst Customer Service Ever.'	,0
'Worst customer service.'	,0
'Worst ever.'	,0
'WORST PHONE EVER.'	,0
'Worst software ever used.... If I could give this zero stars I would.'	,0
'Worth every penny.'	,1
'worthless product.'	,0
'Yet Plantronincs continues to use the same flawed charger design.'	,0
'you can even take self portraits with the outside (exterior) display, very cool.'	,1
'You get what you pay for I guess.'	,0
'You have to hold the phone at a particular angle for the other party to hear you clearly.'	,0
'You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.'	,0
'You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.'	,0
'You never know if you pushed it hard enough or the right number of times for the function you want or not.'	,0
'You won\'t regret it!'	,1
'You\'ll love how thin it is.'	,1
